   70.31,  18593.00,    -62.62,    -90.49,      0.00,     27.99
   70.00,  18620.00,    -62.70,    -90.70,      0.00,     29.99
   67.70,  18824.67,    -63.70,    -92.70,  -9999.00,  -9999.00
   65.30,  19045.36,    -63.50,    -93.50,  -9999.00,  -9999.00
   63.66,  19202.00,    -61.70,    -92.52,    350.00,     31.00
   63.30,  19236.65,    -61.30,    -92.30,  -9999.00,  -9999.00
   60.59,  19507.00,    -62.07,    -92.11,    330.00,     18.01
   60.50,  19515.79,    -62.10,    -92.10,  -9999.00,  -9999.00
   56.80,  19907.37,    -58.90,    -89.90,  -9999.00,  -9999.00
   54.92,  20117.00,    -59.66,    -90.66,    350.00,      2.00
   51.50,  20516.59,    -61.10,    -92.10,  -9999.00,  -9999.00
   50.00,  20700.00,    -59.90,    -90.90,    325.00,     17.00
   47.60,  21008.67,    -58.30,    -89.30,  -9999.00,  -9999.00
   47.43,  21031.00,    -58.36,    -89.36,    350.00,     20.01
   45.90,  21237.42,    -58.90,    -89.90,  -9999.00,  -9999.00
   45.19,  21336.00,    -57.84,    -89.43,    315.00,      6.99
   44.70,  21404.51,    -57.10,    -89.10,  -9999.00,  -9999.00
   41.04,  21946.00,    -56.33,    -88.33,    310.00,      2.99
   40.90,  21968.26,    -56.30,    -88.30,  -9999.00,  -9999.00
   36.50,  22687.15,    -59.10,    -90.10,  -9999.00,  -9999.00
   35.51,  22860.00,    -58.89,    -89.89,     20.00,     16.01
   33.83,  23165.00,    -58.51,    -89.51,    285.00,     10.99
   33.80,  23170.07,    -58.50,    -89.50,  -9999.00,  -9999.00
   32.50,  23418.49,    -55.70,    -87.70,  -9999.00,  -9999.00
   30.74,  23774.00,    -55.06,    -87.06,    325.00,     10.99
   30.30,  23866.13,    -54.90,    -86.90,  -9999.00,  -9999.00
   30.00,  23930.00,    -53.50,    -86.50,    310.00,      8.00
   29.80,  23973.08,    -52.90,    -85.90,  -9999.00,  -9999.00
   27.95,  24384.00,    -53.95,    -86.60,    225.00,      4.99
   24.80,  25149.53,    -55.90,    -87.90,  -9999.00,  -9999.00
   23.50,  25494.42,    -52.90,    -85.90,  -9999.00,  -9999.00
   23.11,  25603.00,    -52.59,    -85.74,    280.00,     36.00
   22.05,  25908.00,    -51.71,    -85.31,    290.00,     25.00
   21.10,  26192.34,    -50.90,    -84.90,  -9999.00,  -9999.00
   20.00,  26540.00,    -51.90,    -84.90,    285.00,     21.00
   19.50,  26703.73,    -52.70,    -85.70,  -9999.00,  -9999.00
   19.15,  26822.00,    -52.27,    -85.41,    275.00,     25.99
   17.43,  27432.00,    -50.02,    -83.91,    285.00,     20.01
   17.20,  27519.42,    -49.70,    -83.70,  -9999.00,  -9999.00
   16.63,  27737.00,    -50.45,    -84.11,    270.00,     14.01
   15.60,  28155.14,    -51.90,    -84.90,  -9999.00,  -9999.00
   15.15,  28346.00,    -51.28,    -84.46,    255.00,     25.99
   13.30,  29196.49,    -48.50,    -82.50,  -9999.00,  -9999.00
   12.60,  29551.37,    -49.50,    -83.50,  -9999.00,  -9999.00
   10.94,  30480.00,    -48.61,    -82.61,    265.00,     24.01
   10.10,  31004.31,    -48.10,    -82.10,  -9999.00,  -9999.00
   10.00,  31070.00,    -47.30,    -82.30,    270.00,     21.00
    9.97,  31090.00,    -47.18,    -82.18,    270.00,     21.00
    9.90,  31136.50,    -46.90,    -81.90,  -9999.00,  -9999.00
